block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_43616,0,D-LINE,0,1,WESTERN GATEWAY,49771,1_merged_579275,565492,
b_44249,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578903,
a_43615,0,D-LINE,0,1,WESTERN GATEWAY,49771,1_merged_579275,565491,
a_43412,0,52,0,0,VALLEY WEST/JORDAN CREEK,49625,3_merged_579276,564271,
a_43616,0,D-LINE,0,1,WESTERN GATEWAY,49771,1_merged_579275,565490,
b_44254,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578990,
b_44252,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578991,
b_44253,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578992,
b_44254,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578993,
b_44252,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578994,
a_43502,0,4,0,1,DART CENTRAL STATION,49615,1_merged_579275,563878,
b_44246,0,D-LINE,0,1,#42 WESTERN GATEWAY,50084,1_merged_579286,578996,
b_44247,0,D-LINE,0,1,#42 WESTERN GATEWAY,50084,1_merged_579286,578997,
b_44246,0,D-LINE,0,1,#42 WESTERN GATEWAY,50084,1_merged_579286,578998,
b_44247,0,D-LINE,0,1,#42 WESTERN GATEWAY,50084,1_merged_579286,578999,
b_44244,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578674,
b_44254,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579139,
b_44253,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579138,
b_43953,0,17,0,1,#17 HUBBELL AVE TO DART CENTRAL STATION,49901,2_merged_579288,570639,
b_43952,0,17,0,1,#17 HUBBELL AVE TO DART CENTRAL STATION,49889,2_merged_579288,570638,
b_43898,0,52,0,1,#52 JORDAN CREEK TO DART CENTRAL STATION,49944,3_merged_579287,571722,
b_43897,0,52,0,1,#52 JORDAN CREEK TO DART CENTRAL STATION,49944,3_merged_579287,571723,
b_44252,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579131,
b_44254,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579130,
b_44254,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579133,
b_44253,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579132,
b_44253,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579135,
b_44252,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579134,
b_44252,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579137,
b_44254,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579136,
b_44246,0,D-LINE,0,0,#42 STATE CAPITOL,50080,1_merged_579286,578842,
b_44247,0,D-LINE,0,0,#42 STATE CAPITOL,50078,1_merged_579286,578843,
b_44246,0,D-LINE,0,0,#42 STATE CAPITOL,50078,1_merged_579286,578846,
b_44247,0,D-LINE,0,0,#42 STATE CAPITOL,50078,1_merged_579286,578847,
b_44246,0,D-LINE,0,0,#42 STATE CAPITOL,50078,1_merged_579286,578844,
b_44247,0,D-LINE,0,0,#42 STATE CAPITOL,50078,1_merged_579286,578845,
b_44246,0,D-LINE,0,0,#42 STATE CAPITOL,50078,1_merged_579286,578848,
b_44247,0,D-LINE,0,0,#42 STATE CAPITOL,50078,1_merged_579286,578849,
b_44080,0,D-LINE,0,1,#42 WESTERN GATEWAY,50084,18502_merged_579291,572763,
b_43955,0,D-LINE,0,0,#42 STATE CAPITOL,50078,18402_merged_579292,572762,
b_44250,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579064,
b_43934,0,16,0,1,#16 DOUGLAS AVE TO DART CENTRAL STATION,49858,2_merged_579288,570510,
b_44255,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579215,
b_44244,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578668,
b_44245,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578669,
b_44256,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579212,
b_44256,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579216,
b_44244,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578662,
b_44245,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578663,
b_44244,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578660,
b_44255,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579217,
b_44244,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578666,
b_44245,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578667,
b_44244,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578664,
b_44245,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578665,
b_44255,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579225,
b_44256,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579224,
b_44080,0,D-LINE,0,1,#42 WESTERN GATEWAY,50084,2_merged_579288,572770,
b_43955,0,D-LINE,0,1,#42 WESTERN GATEWAY,50084,2_merged_579288,572771,
b_44255,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579221,
b_44072,0,92,0,1,#92 HICKMAN EXPRESS,50041,1_merged_579286,572524,
b_44255,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579223,
b_44256,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579222,
b_44080,0,D-LINE,0,1,#42 WESTERN GATEWAY,50084,2_merged_579288,572778,
b_43955,0,D-LINE,0,1,#42 WESTERN GATEWAY,50084,2_merged_579288,572779,
b_44007,0,6,0,0,#6 INDIANOLA TO SOUTHRIDGE VIA SE 14TH,49958,1_merged_579286,571781,
b_43940,0,16,0,1,#16 DOUGLAS AVE TO DART CENTRAL STATION,49871,3_merged_579287,570529,
b_43939,0,16,0,1,#16 DOUGLAS AVE TO DART CENTRAL STATION,49871,3_merged_579287,570528,
b_44255,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17001,579213,
b_43940,0,16,0,0,#16 DOUGLAS AVE TO MERLE HAY,49856,3_merged_579287,570521,
b_43939,0,16,0,0,#16 DOUGLAS AVE TO MERLE HAY,49856,3_merged_579287,570520,
b_43940,0,16,0,1,#16 DOUGLAS AVE TO DART CENTRAL STATION,49871,3_merged_579287,570523,
b_43939,0,16,0,0,#16 DOUGLAS AVE TO MERLE HAY,49856,3_merged_579287,570522,
b_43940,0,16,0,1,#16 DOUGLAS AVE TO DART CENTRAL STATION,49871,3_merged_579287,570525,
b_43939,0,16,0,1,#16 DOUGLAS AVE TO DART CENTRAL STATION,49871,3_merged_579287,570524,
b_43940,0,16,0,1,#16 DOUGLAS AVE TO DART CENTRAL STATION,49871,3_merged_579287,570527,
